"","donor","cell_type1","total_features","cell_type","species","dataset","species_donor"
"mouse1_lib1.final_cell_0001",1,"beta",3205,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0002",1,"ductal",3829,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0003",1,"delta",2582,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0004",1,"schwann",3041,"schwann","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0005",1,"delta",2548,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0006",1,"beta",2828,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0007",1,"beta",2534,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0008",1,"beta",2524,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0009",1,"beta",2950,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0010",1,"ductal",2863,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0011",1,"ductal",2837,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0012",1,"beta",2442,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0013",1,"beta",2285,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0014",1,"delta",2188,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0015",1,"beta",929,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0016",1,"ductal",2349,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0017",1,"beta",785,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0018",1,"quiescent_stellate",2310,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0019",1,"ductal",2539,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0020",1,"ductal",2945,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0021",1,"beta",1584,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0022",1,"beta",2315,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0023",1,"beta",1201,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0024",1,"delta",1619,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0025",1,"quiescent_stellate",2020,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0026",1,"endothelial",2740,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0027",1,"ductal",2678,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0028",1,"ductal",2376,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0029",1,"beta",1095,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0030",1,"ductal",2690,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0031",1,"ductal",2207,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0032",1,"ductal",2534,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0033",1,"gamma",2224,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0034",1,"beta",1656,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0035",1,"beta",1858,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0036",1,"ductal",2421,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0037",1,"ductal",2272,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0038",1,"ductal",2426,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0039",1,"delta",2520,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0040",1,"beta",1376,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0041",1,"beta",1784,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0042",1,"ductal",2274,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0043",1,"delta",1871,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0044",1,"endothelial",2275,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0045",1,"beta",1462,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0046",1,"beta",1598,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0047",1,"alpha",1450,"alpha","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0048",1,"ductal",2114,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0049",1,"beta",1859,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0050",1,"ductal",2236,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0051",1,"gamma",1675,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0052",1,"beta",1552,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0053",1,"ductal",2302,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0054",1,"ductal",1905,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0055",1,"ductal",2273,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0056",1,"beta",917,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0057",1,"ductal",2074,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0058",1,"endothelial",2323,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0059",1,"ductal",2104,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0060",1,"beta",1249,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0061",1,"beta",1561,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0062",1,"ductal",2215,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0063",1,"ductal",2209,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0064",1,"endothelial",2219,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0065",1,"beta",1597,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0066",1,"beta",1606,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0067",1,"ductal",1687,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0068",1,"beta",1688,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0069",1,"endothelial",1976,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0070",1,"ductal",1920,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0071",1,"beta",942,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0072",1,"beta",1199,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0073",1,"endothelial",1939,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0074",1,"beta",990,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0075",1,"beta",1856,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0076",1,"ductal",2059,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0077",1,"beta",1757,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0078",1,"ductal",2132,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0079",1,"quiescent_stellate",2129,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0080",1,"beta",1260,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0081",1,"ductal",1764,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0082",1,"ductal",1960,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0083",1,"delta",973,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0084",1,"alpha",1774,"alpha","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0085",1,"ductal",2064,"ductal","mouse","inDrop","mouse1"
