x;type
103092734.Anterior nares;Anterior nares
147406386.Anterior nares;Anterior nares
158013734.Anterior nares;Anterior nares
158114885.Anterior nares;Anterior nares
158155345.Anterior nares;Anterior nares
158216035.Anterior nares;Anterior nares
158236265.Anterior nares;Anterior nares
158276726.Anterior nares;Anterior nares
158398106.Anterior nares;Anterior nares
158418336.Anterior nares;Anterior nares
158438567.Anterior nares;Anterior nares
158458797.Anterior nares;Anterior nares
158479027.Anterior nares;Anterior nares
158499257.Anterior nares;Anterior nares
158721788.Anterior nares;Anterior nares
158742018.Anterior nares;Anterior nares
158802708.Anterior nares;Anterior nares
158822939.Anterior nares;Anterior nares
158883629.Anterior nares;Anterior nares
158924089.Anterior nares;Anterior nares
158944319.Anterior nares;Anterior nares
158964549.Anterior nares;Anterior nares
158984779.Anterior nares;Anterior nares
159005010.Anterior nares;Anterior nares
159025240.Anterior nares;Anterior nares
159085930.Anterior nares;Anterior nares
159146620.Anterior nares;Anterior nares
159166850.Anterior nares;Anterior nares
159227541.Anterior nares;Anterior nares
159247771.Anterior nares;Anterior nares
159389382.Anterior nares;Anterior nares
159470302.Anterior nares;Anterior nares
159713063.Anterior nares;Anterior nares
159733294.Anterior nares;Anterior nares
160744799.Anterior nares;Anterior nares
160825720.Anterior nares;Anterior nares
160866180.Anterior nares;Anterior nares
160886410.Anterior nares;Anterior nares
160906640.Anterior nares;Anterior nares
160947100.Anterior nares;Anterior nares
160987560.Anterior nares;Anterior nares
161007791.Anterior nares;Anterior nares
161270782.Anterior nares;Anterior nares
161311242.Anterior nares;Anterior nares
161331472.Anterior nares;Anterior nares
161351702.Anterior nares;Anterior nares
161412393.Anterior nares;Anterior nares
161473083.Anterior nares;Anterior nares
161493313.Anterior nares;Anterior nares
161554003.Anterior nares;Anterior nares
178713055.Anterior nares;Anterior nares
206906765.Anterior nares;Anterior nares
208027353.Anterior nares;Anterior nares
246515023.Anterior nares;Anterior nares
250593475.Anterior nares;Anterior nares
289996019.Anterior nares;Anterior nares
295137534.Anterior nares;Anterior nares
336497421.Anterior nares;Anterior nares
368533040.Anterior nares;Anterior nares
370027359.Anterior nares;Anterior nares
370425937.Anterior nares;Anterior nares
375450439.Anterior nares;Anterior nares
404239096.Anterior nares;Anterior nares
414519462.Anterior nares;Anterior nares
451588811.Anterior nares;Anterior nares
465578759.Anterior nares;Anterior nares
492786515.Anterior nares;Anterior nares
517810313.Anterior nares;Anterior nares
553359145.Anterior nares;Anterior nares
561079058.Anterior nares;Anterior nares
604812005.Anterior nares;Anterior nares
612472597.Anterior nares;Anterior nares
650853796.Anterior nares;Anterior nares
663835652.Anterior nares;Anterior nares
668248235.Anterior nares;Anterior nares
682102541.Anterior nares;Anterior nares
682449369.Anterior nares;Anterior nares
686765762.Anterior nares;Anterior nares
706846339.Anterior nares;Anterior nares
737052003.Anterior nares;Anterior nares
739574095.Anterior nares;Anterior nares
763395383.Anterior nares;Anterior nares
763435843.Anterior nares;Anterior nares
763456073.Anterior nares;Anterior nares
763476303.Anterior nares;Anterior nares
763516763.Anterior nares;Anterior nares
763536994.Anterior nares;Anterior nares
763557224.Anterior nares;Anterior nares
763597684.Anterior nares;Anterior nares
763638144.Anterior nares;Anterior nares
763698834.Anterior nares;Anterior nares
763719065.Anterior nares;Anterior nares
763759525.Anterior nares;Anterior nares
763820215.Anterior nares;Anterior nares
763840445.Anterior nares;Anterior nares
763860675.Anterior nares;Anterior nares
763880905.Anterior nares;Anterior nares
763901136.Anterior nares;Anterior nares
763921366.Anterior nares;Anterior nares
763982056.Anterior nares;Anterior nares
764002286.Anterior nares;Anterior nares
764042746.Anterior nares;Anterior nares
764062976.Anterior nares;Anterior nares
764083206.Anterior nares;Anterior nares
764143897.Anterior nares;Anterior nares
764184357.Anterior nares;Anterior nares
764224817.Anterior nares;Anterior nares
764305738.Anterior nares;Anterior nares
764325968.Anterior nares;Anterior nares
764346198.Anterior nares;Anterior nares
764366428.Anterior nares;Anterior nares
764447348.Anterior nares;Anterior nares
764467579.Anterior nares;Anterior nares
764487809.Anterior nares;Anterior nares
764508039.Anterior nares;Anterior nares
764649650.Anterior nares;Anterior nares
764669880.Anterior nares;Anterior nares
764750800.Anterior nares;Anterior nares
764811490.Anterior nares;Anterior nares
764831721.Anterior nares;Anterior nares
764872181.Anterior nares;Anterior nares
764892411.Anterior nares;Anterior nares
764953101.Anterior nares;Anterior nares
765013792.Anterior nares;Anterior nares
765034022.Anterior nares;Anterior nares
765074482.Anterior nares;Anterior nares
765094712.Anterior nares;Anterior nares
765155402.Anterior nares;Anterior nares
765195863.Anterior nares;Anterior nares
765216093.Anterior nares;Anterior nares
765276783.Anterior nares;Anterior nares
765337473.Anterior nares;Anterior nares
765560005.Anterior nares;Anterior nares
809635352.Anterior nares;Anterior nares
863126187.Anterior nares;Anterior nares
875002022.Anterior nares;Anterior nares
901775393.Anterior nares;Anterior nares
937495960.Anterior nares;Anterior nares
938202701.Anterior nares;Anterior nares
970836795.Anterior nares;Anterior nares
132902142.Buccal mucosa;Buccal mucosa
147406386.Buccal mucosa;Buccal mucosa
158013734.Buccal mucosa;Buccal mucosa
158114885.Buccal mucosa;Buccal mucosa
158155345.Buccal mucosa;Buccal mucosa
158216035.Buccal mucosa;Buccal mucosa
158236265.Buccal mucosa;Buccal mucosa
158276726.Buccal mucosa;Buccal mucosa
158398106.Buccal mucosa;Buccal mucosa
158418336.Buccal mucosa;Buccal mucosa
158438567.Buccal mucosa;Buccal mucosa
158458797.Buccal mucosa;Buccal mucosa
158479027.Buccal mucosa;Buccal mucosa
158499257.Buccal mucosa;Buccal mucosa
158721788.Buccal mucosa;Buccal mucosa
158742018.Buccal mucosa;Buccal mucosa
158802708.Buccal mucosa;Buccal mucosa
158822939.Buccal mucosa;Buccal mucosa
158883629.Buccal mucosa;Buccal mucosa
158924089.Buccal mucosa;Buccal mucosa
158944319.Buccal mucosa;Buccal mucosa
158964549.Buccal mucosa;Buccal mucosa
159005010.Buccal mucosa;Buccal mucosa
159025240.Buccal mucosa;Buccal mucosa
159085930.Buccal mucosa;Buccal mucosa
159146620.Buccal mucosa;Buccal mucosa
159166850.Buccal mucosa;Buccal mucosa
159227541.Buccal mucosa;Buccal mucosa
159247771.Buccal mucosa;Buccal mucosa
159389382.Buccal mucosa;Buccal mucosa
159470302.Buccal mucosa;Buccal mucosa
159713063.Buccal mucosa;Buccal mucosa
159733294.Buccal mucosa;Buccal mucosa
160744799.Buccal mucosa;Buccal mucosa
160825720.Buccal mucosa;Buccal mucosa
160866180.Buccal mucosa;Buccal mucosa
160886410.Buccal mucosa;Buccal mucosa
160906640.Buccal mucosa;Buccal mucosa
160947100.Buccal mucosa;Buccal mucosa
160967330.Buccal mucosa;Buccal mucosa
160987560.Buccal mucosa;Buccal mucosa
161007791.Buccal mucosa;Buccal mucosa
161270782.Buccal mucosa;Buccal mucosa
161311242.Buccal mucosa;Buccal mucosa
161331472.Buccal mucosa;Buccal mucosa
161473083.Buccal mucosa;Buccal mucosa
161554003.Buccal mucosa;Buccal mucosa
178713055.Buccal mucosa;Buccal mucosa
208027353.Buccal mucosa;Buccal mucosa
246515023.Buccal mucosa;Buccal mucosa
289996019.Buccal mucosa;Buccal mucosa
295137534.Buccal mucosa;Buccal mucosa
336497421.Buccal mucosa;Buccal mucosa
368533040.Buccal mucosa;Buccal mucosa
370027359.Buccal mucosa;Buccal mucosa
370425937.Buccal mucosa;Buccal mucosa
375450439.Buccal mucosa;Buccal mucosa
404239096.Buccal mucosa;Buccal mucosa
414519462.Buccal mucosa;Buccal mucosa
465578759.Buccal mucosa;Buccal mucosa
492786515.Buccal mucosa;Buccal mucosa
508703490.Buccal mucosa;Buccal mucosa
517810313.Buccal mucosa;Buccal mucosa
